,Week,Name,Team,Opponent,Fanduel_Points,Fanduel_Price,Home
6098,16,"Taylor, J.J.",nwe,buf,3.8,4600.0,Home
6099,16,"Ballage, Kalen",lac,den,3.6,5000.0,Home
6100,16,"Freeman, Royce",den, lac,3.3,4800.0,Away
6101,16,"Hyde, Carlos",sea,lar,3.1,5700.0,Home
6102,16,"Booker, Devontae",lvr,mia,2.9,5100.0,Home
6103,16,"Richard, Jalen",lvr,mia,2.8,4600.0,Home
6104,16,"Johnson, Kerryon",det,tam,2.7,4800.0,Home
6105,16,"Pollard, Tony",dal,phi,2.5,6300.0,Home
6106,16,"Smith, Keith",atl, kan,2.4,4500.0,Away
6107,16,"Bellamy, LeVante",den, lac,2.1,4500.0,Away
6108,16,"Burton, Michael",nor,min,1.9,4500.0,Home
6109,16,"Edmonds, Chase",ari,sfo,1.8,6400.0,Home
6110,16,"Morris, Alfred",nyg, bal,1.8,4700.0,Away
6111,16,"Scott, Boston",phi, dal,1.7,4800.0,Away
6112,16,"Lewis, Dion",nyg, bal,1.5,4600.0,Away
6113,16,"Abdullah, Ameer",min, nor,1.3,4500.0,Away
6114,16,"Johnson, Ty",nyj,cle,1.3,5300.0,Home
6115,16,"Reynolds, Craig",jac,chi,1.2,4500.0,Home
6116,16,"McNichols, Jeremy",ten, gnb,1.1,4700.0,Away
6117,16,"Barber, Peyton",was,car,1.0,5200.0,Home
6118,16,"Peterson, Adrian",det,tam,1.0,5200.0,Home
6119,16,"McCoy, LeSean",tam, det,1.0,4900.0,Away
6120,16,"Ozigbo, Devine",jac,chi,0.9,5100.0,Home
6121,16,"Penny, Rashaad",sea,lar,0.9,4800.0,Home
6122,16,"Howard, Jordan",phi, dal,0.8,4500.0,Away
6123,16,"Coleman, Tevin",sfo, ari,0.8,5500.0,Away
6124,16,"Ahmed, Salvon",mia, lvr,0.8,6700.0,Away
6125,16,"Williams, Trayveon",cin, hou,0.6,4600.0,Away
6126,16,"Jackson, Justin",lac,den,0.4,4700.0,Home
6127,16,"Evans, Darrynton",ten, gnb,0.3,4900.0,Away
6128,16,"Armah, Alex",car, was,0.3,4700.0,Away
6129,16,"Thompson, Darwin",kan,atl,0.0,4500.0,Home
6130,16,"Dowdle, Rico",dal,phi,0.0,4700.0,Home
6131,16,"Samuels, Jaylen",pit,ind,0.0,5300.0,Home
6132,16,"Washington, Dwayne",nor,min,0.0,4500.0,Home
6133,16,"Hill, Justice",bal,nyg,0.0,4700.0,Home
6134,16,"Johnson, Jakob",nwe,buf,0.0,4500.0,Home
6135,16,"Bellore, Nick",sea,lar,0.0,4500.0,Home
6136,16,"Miller, Bruce",jac,chi,0.0,4500.0,Home
6137,16,"Wilkins, Jordan",ind, pit,0.0,4800.0,Away
6138,16,"Williams, Dexter",gnb,ten,0.0,4500.0,Home
